text,category
Do you offer a student discount? — any quick fix?,General Inquiry
Please help me update my registered security on my laptop and phone?,Account Access
I want to cancel my subscription before renewal after the latest update.,Billing
i need a tax invoice with abn for my records for my account.,Billing
Speed is very slow compared to my plan — please advise?,Technical Issue
Do you have coverage in Sydney? today?,General Inquiry
My OTP isn't working and I can't sign in — any quick fix?,Account Access
My username isn't working and I can't sign in — please advise.,Account Access
Do you support international roaming? since this morning.,General Inquiry
when does my billing cycle start and end? asap please?,Billing
What are the prices and data limits for each plan? after the latest update.,General Inquiry
When does my billing cycle start and end?,Billing
Internet is not working in my area thanks?,Technical Issue
High latency during video calls since yesterday after the latest update.,Technical Issue
Why does my session keep expiring so fast? for my account?,Account Access
Please issue a refund for the mistaken charge thanks.,Billing
I want to know about your plans for my account.,General Inquiry
What are the prices and data limits for each plan? since this morning.,General Inquiry
Please issue a refund for the mistaken charge this week.,Billing
Why does my session keep expiring so fast?,Account Access
I need to verify my account to sign in asap please.,Account Access
My router keeps disconnecting every few minutes today.,Technical Issue
Do you support international roaming? today.,General Inquiry
I need to reactivate my account on my laptop and phone.,Account Access
I need a tax invoice with ABN for my records after the latest update.,Billing
Is service available at my address in Adelaide? asap please?,General Inquiry
Experiencing packet loss while gaming — any quick fix?,Technical Issue
Why does my session keep expiring so fast? after the latest update.,Account Access
Forgot my OTP and need access after the latest update.,Account Access
I want to know about your plans thanks.,General Inquiry
I need to reactivate my account this week.,Account Access
How do I update my card details? today.,Billing
Which features are included in the standard plan? thanks.,General Inquiry
I need to reactivate my account on my laptop and phone.,Account Access
how do i update my card details? this week.,Billing
The app crashes when I try to open settings after the latest update.,Technical Issue
I need to verify my account to sign in for my account.,Account Access
Is there a free trial I can test first? on my laptop and phone.,General Inquiry
I need a tax invoice with ABN for my records this week.,Billing
how do i reset my security? on my laptop and phone.,Account Access
pages won't load—could it be a dns problem? asap please.,Technical Issue
I need to verify my account to sign in,Account Access
Pages won't load—could it be a DNS problem?,Technical Issue
How do I reset my password? since this morning.,Account Access
how do business accounts work for teams? — any quick fix?,General Inquiry
i cannot log in to my account after the latest update.,Account Access
High latency during video calls since yesterday after the latest update.,Technical Issue
high latency during video calls since yesterday for my account.,Technical Issue
Login keeps failing with an 'invalid credentials' message this week.,Account Access
I need to verify my account to sign in for my account.,Account Access
Is there a free trial I can test first? today.,General Inquiry
I want to cancel my subscription before renewal — any quick fix?,Billing
How do I reset my password? asap please.,Account Access
Can you provide a credit note for the overcharge? asap please.,Billing
I need a tax invoice with ABN for my records,Billing
What are your customer support hours? — please advise.,General Inquiry
Speed is very slow compared to my plan after the latest update.,Technical Issue
Why does my session keep expiring so fast? thanks?,Account Access
Certain ports appear to be blocked on my network asap please.,Technical Issue
How do I reset my phone number? for my account.,Account Access
How can I change my email address? thanks.,Account Access
Please issue a refund for the mistaken charge on my laptop and phone.,Billing
How do business accounts work for teams? since this morning?,General Inquiry
High latency during video calls since yesterday,Technical Issue
Do you offer a student discount? thanks.,General Inquiry
Do you offer a student discount? this week.,General Inquiry
Is service available at my address in Perth? today.,General Inquiry
Experiencing packet loss while gaming?,Technical Issue
I want to cancel my subscription before renewal — any quick fix?,Billing
I need to reactivate my account on my laptop and phone.,Account Access
Forgot my OTP and need access after the latest update.,Account Access
pages won't load—could it be a dns problem? this week?,Technical Issue
How do I reset my 2FA? since this morning.,Account Access
Is there a free trial I can test first? thanks.,General Inquiry
Is there an outage in Perth? — please advise.,Technical Issue
How do I reset my 2FA? thanks?,Account Access
Why does my session keep expiring so fast? today?,Account Access
Forgot my OTP and need access today.,Account Access
I need to verify my account to sign in thanks.,Account Access
can i get a copy of last month's invoice? — any quick fix?,Billing
Do you offer a student discount? asap please.,General Inquiry
How long does installation usually take? on my laptop and phone?,General Inquiry
The app crashes when I try to open settings on my laptop and phone.,Technical Issue
Payment failed but the money was deducted,Billing
My invoice is incorrect for this month — any quick fix?,Billing
Do you offer a student discount? for my account.,General Inquiry
Can I get a copy of last month's invoice? — please advise.,Billing
Is there a free trial I can test first? after the latest update.,General Inquiry
My router keeps disconnecting every few minutes,Technical Issue
Is service available at my address in Brisbane? after the latest update.,General Inquiry
How can I change my email address? asap please.,Account Access
High latency during video calls since yesterday on my laptop and phone.,Technical Issue
Can you provide a credit note for the overcharge? asap please?,Billing
Wi‑Fi keeps dropping on multiple devices thanks.,Technical Issue
Certain ports appear to be blocked on my network thanks.,Technical Issue
Please help me update my registered 2FA this week?,Account Access
How do I update the router firmware? since this morning?,Technical Issue
What are the contract terms—month‑to‑month or annual? after the latest update.,General Inquiry
I want to know about your plans today.,General Inquiry
What are the prices and data limits for each plan?,General Inquiry
I want to know about your plans today.,General Inquiry
What are your customer support hours? thanks.,General Inquiry
I'm not receiving the security code thanks?,Account Access
How do I change my plan without extra charges? for my account.,Billing
My router keeps disconnecting every few minutes for my account.,Technical Issue
How do I update my card details? for my account.,Billing
I want to know about your plans for my account.,General Inquiry
I need to reactivate my account after the latest update.,Account Access
I'm getting error code APP-19 on login on my laptop and phone?,Technical Issue
My router keeps disconnecting every few minutes for my account.,Technical Issue
I want to know about your plans — any quick fix?,General Inquiry
Do you offer a student discount? thanks.,General Inquiry
Experiencing packet loss while gaming — any quick fix?,Technical Issue
How do I update my card details? for my account.,Billing
Certain ports appear to be blocked on my network after the latest update.,Technical Issue
My router keeps disconnecting every few minutes on my laptop and phone.,Technical Issue
I got locked out after too many attempts for my account.,Account Access
Please issue a refund for the mistaken charge this week?,Billing
Do you offer a student discount? since this morning.,General Inquiry
Speed is very slow compared to my plan today?,Technical Issue
please issue a refund for the mistaken charge today.,Billing
How do I reset my phone number? for my account.,Account Access
Can you provide a credit note for the overcharge? since this morning.,Billing
Pages won't load—could it be a DNS problem? thanks.,Technical Issue
What are the prices and data limits for each plan?,General Inquiry
What are the contract terms—month‑to‑month or annual? on my laptop and phone?,General Inquiry
Can I get a copy of last month's invoice? — please advise.,Billing
Certain ports appear to be blocked on my network — please advise.,Technical Issue
My invoice is incorrect for this month after the latest update.,Billing
I need to verify my account to sign in on my laptop and phone.,Account Access
Certain ports appear to be blocked on my network,Technical Issue
How do I reset my username? — any quick fix?,Account Access
How do I change my plan without extra charges? today.,Billing
Is there an outage in Sydney? today.,Technical Issue
How do I update the router firmware? thanks.,Technical Issue
Is there a free trial I can test first? — any quick fix?,General Inquiry
How do I update my card details? — please advise.,Billing
Payment failed but the money was deducted since this morning.,Billing
How long does installation usually take? after the latest update.,General Inquiry
do you offer a student discount? after the latest update.,General Inquiry
I want to cancel my subscription before renewal,Billing
Is service available at my address in Newcastle? today.,General Inquiry
Can you provide a credit note for the overcharge? this week.,Billing
I'm not receiving the phone number code — any quick fix?,Account Access
Is there a free trial I can test first? today.,General Inquiry
Is there a free trial I can test first? — please advise?,General Inquiry
Do you support international roaming? on my laptop and phone.,General Inquiry
i need to reactivate my account today.,Account Access
I need a tax invoice with ABN for my records this week?,Billing
How do I update my card details? — any quick fix?,Billing
Wi‑Fi keeps dropping on multiple devices after the latest update.,Technical Issue
I'm not receiving the 2FA code this week.,Account Access
Please issue a refund for the mistaken charge thanks.,Billing
my promo code didn't apply at checkout since this morning?,Billing
Experiencing packet loss while gaming this week.,Technical Issue
I need to verify my account to sign in thanks.,Account Access
Please issue a refund for the mistaken charge this week.,Billing
Which features are included in the standard plan? since this morning.,General Inquiry
Certain ports appear to be blocked on my network — any quick fix?,Technical Issue
High latency during video calls since yesterday after the latest update.,Technical Issue
Do you offer a student discount? for my account.,General Inquiry
My username isn't working and I can't sign in thanks.,Account Access
How do I update the router firmware? on my laptop and phone.,Technical Issue
I need to reactivate my account since this morning.,Account Access
Certain ports appear to be blocked on my network thanks.,Technical Issue
Can I get a copy of last month's invoice? — any quick fix?,Billing
I was charged twice for my subscription after the latest update.,Billing
I need a tax invoice with ABN for my records today.,Billing
Payment failed but the money was deducted — any quick fix?,Billing
I cannot log in to my account asap please.,Account Access
Internet is not working in my area — please advise.,Technical Issue
I need a tax invoice with ABN for my records after the latest update.,Billing
How long does installation usually take? this week?,General Inquiry
My promo code didn't apply at checkout,Billing
Is there a free trial I can test first? today.,General Inquiry
Is there an outage in Hobart? — any quick fix?,Technical Issue
i cannot log in to my account asap please.,Account Access
I need a tax invoice with ABN for my records — please advise.,Billing
Wi‑Fi keeps dropping on multiple devices this week.,Technical Issue
Do you offer a student discount? thanks.,General Inquiry
My router keeps disconnecting every few minutes since this morning.,Technical Issue
Is there an outage in Canberra? on my laptop and phone.,Technical Issue
Experiencing packet loss while gaming today.,Technical Issue
My router keeps disconnecting every few minutes — please advise.,Technical Issue
Do you offer a student discount? after the latest update.,General Inquiry
What are your customer support hours? — please advise.,General Inquiry
My promo code didn't apply at checkout this week.,Billing
Please issue a refund for the mistaken charge this week.,Billing
What are the prices and data limits for each plan? thanks.,General Inquiry
do you have coverage in darwin? — any quick fix?,General Inquiry
When does my billing cycle start and end? thanks.,Billing
how long does installation usually take? after the latest update?,General Inquiry
I need to verify my account to sign in today.,Account Access
Pages won't load—could it be a DNS problem? for my account.,Technical Issue
What are the contract terms—month‑to‑month or annual? thanks.,General Inquiry
High latency during video calls since yesterday since this morning.,Technical Issue
Pages won't load—could it be a DNS problem? today?,Technical Issue
I got locked out after too many attempts since this morning.,Account Access
Speed is very slow compared to my plan — any quick fix?,Technical Issue
I want to know about your plans since this morning.,General Inquiry
I'm not receiving the 2FA code — please advise?,Account Access
Internet is not working in my area this week.,Technical Issue
I was charged twice for my subscription,Billing
How long does installation usually take? on my laptop and phone?,General Inquiry
When does my billing cycle start and end?,Billing
Experiencing packet loss while gaming on my laptop and phone.,Technical Issue
My router keeps disconnecting every few minutes thanks.,Technical Issue
Can I get a copy of last month's invoice? thanks.,Billing
Wi‑Fi keeps dropping on multiple devices,Technical Issue
Internet is not working in my area this week.,Technical Issue
Is service available at my address in Melbourne? — any quick fix?,General Inquiry
Is there an outage in Brisbane? — any quick fix?,Technical Issue
Internet is not working in my area on my laptop and phone.,Technical Issue
Please help me update my registered phone number — any quick fix?,Account Access
Please help me update my registered password,Account Access
Do you have coverage in Canberra? today.,General Inquiry
I'm getting error code APP-19 on login this week.,Technical Issue
Experiencing packet loss while gaming — please advise.,Technical Issue
Forgot my phone number and need access — please advise.,Account Access
I'm not receiving the username code — please advise.,Account Access
Why does my session keep expiring so fast? since this morning.,Account Access
Is there an outage in Perth? for my account.,Technical Issue
high latency during video calls since yesterday after the latest update?,Technical Issue
I was charged twice for my subscription this week.,Billing
Forgot my username and need access for my account.,Account Access
internet is not working in my area on my laptop and phone.,Technical Issue
Speed is very slow compared to my plan this week.,Technical Issue
How do I update the router firmware? asap please.,Technical Issue
Certain ports appear to be blocked on my network asap please.,Technical Issue
I want to deactivate my account asap please?,Account Access
I was charged twice for my subscription,Billing
Certain ports appear to be blocked on my network today.,Technical Issue
Forgot my 2FA and need access — any quick fix?,Account Access
can i get a copy of last month's invoice? for my account.,Billing
My promo code didn't apply at checkout today.,Billing
Internet is not working in my area since this morning.,Technical Issue
how do business accounts work for teams? on my laptop and phone.,General Inquiry
Login keeps failing with an 'invalid credentials' message on my laptop and phone.,Account Access
I want to know about your plans on my laptop and phone?,General Inquiry
My security isn't working and I can't sign in — any quick fix?,Account Access
How do I reset my username?,Account Access
Payment failed but the money was deducted this week.,Billing
is there a free trial i can test first? on my laptop and phone?,General Inquiry
I'm not receiving the 2FA code — any quick fix?,Account Access
speed is very slow compared to my plan after the latest update?,Technical Issue
Do you offer a student discount? for my account?,General Inquiry
Pages won't load—could it be a DNS problem? for my account?,Technical Issue
I need a tax invoice with ABN for my records for my account.,Billing
I'm getting error code E403 on login asap please.,Technical Issue
When does my billing cycle start and end? — please advise.,Billing
Please issue a refund for the mistaken charge on my laptop and phone.,Billing
My password isn't working and I can't sign in,Account Access
Do you support international roaming? this week?,General Inquiry
forgot my security and need access?,Account Access
Which features are included in the standard plan? this week.,General Inquiry
How do I update my card details? for my account?,Billing
Do you offer a student discount?,General Inquiry
Can you provide a credit note for the overcharge? since this morning.,Billing
What are your customer support hours? for my account.,General Inquiry
I cannot log in to my account thanks?,Account Access
Experiencing packet loss while gaming on my laptop and phone.,Technical Issue
Speed is very slow compared to my plan this week.,Technical Issue
Speed is very slow compared to my plan,Technical Issue
Is there a free trial I can test first? this week?,General Inquiry
Please help me update my registered password asap please.,Account Access
Can I get a copy of last month's invoice? thanks.,Billing
what are your customer support hours? since this morning.,General Inquiry
How do I update my card details? asap please.,Billing
do you have coverage in melbourne? — please advise.,General Inquiry
Internet is not working in my area on my laptop and phone.,Technical Issue
experiencing packet loss while gaming after the latest update.,Technical Issue
do you support international roaming? on my laptop and phone.,General Inquiry
Is there a free trial I can test first? on my laptop and phone.,General Inquiry
Is service available at my address in Canberra? this week.,General Inquiry
I need to reactivate my account asap please.,Account Access
Experiencing packet loss while gaming asap please.,Technical Issue
What are the contract terms—month‑to‑month or annual? after the latest update?,General Inquiry
I need to reactivate my account today.,Account Access
i got locked out after too many attempts for my account.,Account Access
I got locked out after too many attempts — please advise.,Account Access
The app crashes when I try to open settings on my laptop and phone?,Technical Issue
How do I reset my phone number? — please advise.,Account Access
Wi‑Fi keeps dropping on multiple devices since this morning.,Technical Issue
How do I update the router firmware? thanks.,Technical Issue
Can you provide a credit note for the overcharge? for my account?,Billing
Do you have coverage in Canberra? thanks.,General Inquiry
Do you support international roaming? on my laptop and phone.,General Inquiry
Is there a free trial I can test first? on my laptop and phone?,General Inquiry
My invoice is incorrect for this month since this morning.,Billing
experiencing packet loss while gaming — please advise.,Technical Issue
I need to reactivate my account since this morning?,Account Access
How do business accounts work for teams? asap please.,General Inquiry
Pages won't load—could it be a DNS problem? since this morning.,Technical Issue
My invoice is incorrect for this month after the latest update.,Billing
Payment failed but the money was deducted today.,Billing
i want to cancel my subscription before renewal?,Billing
high latency during video calls since yesterday on my laptop and phone.,Technical Issue
What are the contract terms—month‑to‑month or annual? since this morning.,General Inquiry
I'm getting error code AUTH-07 on login today.,Technical Issue
I cannot log in to my account since this morning.,Account Access
How do I update my card details?,Billing
Is there a free trial I can test first? for my account.,General Inquiry
Please issue a refund for the mistaken charge for my account.,Billing
Payment failed but the money was deducted — any quick fix?,Billing
Please help me update my registered username today.,Account Access
Please help me update my registered 2FA today.,Account Access
My router keeps disconnecting every few minutes for my account?,Technical Issue
I'm getting error code AUTH-07 on login this week.,Technical Issue
Which features are included in the standard plan? this week.,General Inquiry
What are your customer support hours?,General Inquiry
i need to verify my account to sign in for my account.,Account Access
Certain ports appear to be blocked on my network,Technical Issue
Internet is not working in my area for my account.,Technical Issue
I need a tax invoice with ABN for my records after the latest update.,Billing
My OTP isn't working and I can't sign in on my laptop and phone.,Account Access
Speed is very slow compared to my plan after the latest update.,Technical Issue
Internet is not working in my area asap please.,Technical Issue
Is there an outage in Canberra? — any quick fix?,Technical Issue
Payment failed but the money was deducted this week.,Billing
The app crashes when I try to open settings,Technical Issue
I want to cancel my subscription before renewal,Billing
I want to cancel my subscription before renewal after the latest update.,Billing
High latency during video calls since yesterday this week.,Technical Issue
Do you support international roaming?,General Inquiry
Pages won't load—could it be a DNS problem? after the latest update.,Technical Issue
Forgot my security and need access for my account.,Account Access
I need to reactivate my account this week.,Account Access
Why does my session keep expiring so fast? on my laptop and phone.,Account Access
Forgot my username and need access since this morning.,Account Access
My invoice is incorrect for this month on my laptop and phone.,Billing
Certain ports appear to be blocked on my network — please advise.,Technical Issue
How do I reset my OTP? since this morning?,Account Access
How can I change my email address? thanks.,Account Access
I need to verify my account to sign in asap please.,Account Access
Speed is very slow compared to my plan — any quick fix?,Technical Issue
I was charged twice for my subscription — any quick fix?,Billing
Internet is not working in my area for my account.,Technical Issue
login keeps failing with an 'invalid credentials' message this week.,Account Access
My security isn't working and I can't sign in thanks.,Account Access
i'm not receiving the password code after the latest update.,Account Access
High latency during video calls since yesterday this week.,Technical Issue
The app crashes when I try to open settings,Technical Issue
I want to know about your plans,General Inquiry
Do you have coverage in Adelaide? — any quick fix?,General Inquiry
Please issue a refund for the mistaken charge,Billing
I want to cancel my subscription before renewal thanks.,Billing
Is there an outage in Sydney? since this morning?,Technical Issue
My router keeps disconnecting every few minutes — any quick fix?,Technical Issue
i want to cancel my subscription before renewal thanks.,Billing
what are the contract terms—month‑to‑month or annual? — any quick fix?,General Inquiry
Internet is not working in my area thanks.,Technical Issue
My router keeps disconnecting every few minutes since this morning.,Technical Issue
Which features are included in the standard plan? after the latest update.,General Inquiry
Login keeps failing with an 'invalid credentials' message thanks.,Account Access
Is service available at my address in Sydney? thanks.,General Inquiry
Wi‑Fi keeps dropping on multiple devices on my laptop and phone.,Technical Issue
My router keeps disconnecting every few minutes on my laptop and phone.,Technical Issue
I was charged twice for my subscription — please advise.,Billing
How do I update my card details? for my account?,Billing
Is there a free trial I can test first? — please advise.,General Inquiry
How do I update my card details? after the latest update?,Billing
The app crashes when I try to open settings this week.,Technical Issue
How do I update the router firmware? on my laptop and phone.,Technical Issue
I got locked out after too many attempts on my laptop and phone.,Account Access
I need a tax invoice with ABN for my records asap please.,Billing
I need a tax invoice with ABN for my records since this morning.,Billing
How do I update the router firmware? asap please.,Technical Issue
I need to reactivate my account since this morning.,Account Access
My phone number isn't working and I can't sign in thanks.,Account Access
Can you provide a credit note for the overcharge? asap please?,Billing
How do I change my plan without extra charges? for my account?,Billing
I got locked out after too many attempts after the latest update?,Account Access
Pages won't load—could it be a DNS problem? this week.,Technical Issue
Can I get a copy of last month's invoice? this week?,Billing
Login keeps failing with an 'invalid credentials' message asap please?,Account Access
my invoice is incorrect for this month since this morning.,Billing
My router keeps disconnecting every few minutes — any quick fix?,Technical Issue
I need to verify my account to sign in asap please.,Account Access
High latency during video calls since yesterday — any quick fix?,Technical Issue
i'm getting error code auth-07 on login — please advise.,Technical Issue
How do business accounts work for teams?,General Inquiry
Please issue a refund for the mistaken charge,Billing
Internet is not working in my area asap please.,Technical Issue
High latency during video calls since yesterday on my laptop and phone.,Technical Issue
Which features are included in the standard plan? for my account.,General Inquiry
I need to reactivate my account this week.,Account Access
My password isn't working and I can't sign in — please advise.,Account Access
When does my billing cycle start and end? on my laptop and phone.,Billing
please help me update my registered 2fa asap please.,Account Access
Do you have coverage in Melbourne? asap please.,General Inquiry
I want to cancel my subscription before renewal for my account.,Billing
I cannot log in to my account — please advise.,Account Access
Please help me update my registered username after the latest update.,Account Access
Forgot my phone number and need access,Account Access
Please issue a refund for the mistaken charge today.,Billing
Login keeps failing with an 'invalid credentials' message after the latest update.,Account Access
My promo code didn't apply at checkout — any quick fix?,Billing
Forgot my phone number and need access for my account?,Account Access
I need to reactivate my account for my account.,Account Access
Please issue a refund for the mistaken charge — any quick fix?,Billing
How can I change my email address? on my laptop and phone?,Account Access
Do you support international roaming? after the latest update.,General Inquiry
High latency during video calls since yesterday on my laptop and phone.,Technical Issue
Speed is very slow compared to my plan after the latest update.,Technical Issue
My username isn't working and I can't sign in — please advise.,Account Access
Login keeps failing with an 'invalid credentials' message on my laptop and phone.,Account Access
Forgot my OTP and need access since this morning.,Account Access
My OTP isn't working and I can't sign in after the latest update.,Account Access
my router keeps disconnecting every few minutes for my account.,Technical Issue
i want to know about your plans after the latest update?,General Inquiry
Payment failed but the money was deducted — please advise.,Billing
Pages won't load—could it be a DNS problem? thanks.,Technical Issue
The app crashes when I try to open settings since this morning.,Technical Issue
Is service available at my address in Brisbane? since this morning.,General Inquiry
Do you have coverage in Darwin? asap please.,General Inquiry
Login keeps failing with an 'invalid credentials' message — please advise.,Account Access
How do I change my plan without extra charges? thanks.,Billing
My router keeps disconnecting every few minutes,Technical Issue
Login keeps failing with an 'invalid credentials' message for my account.,Account Access
how do i reset my 2fa? — any quick fix?,Account Access
How long does installation usually take? after the latest update.,General Inquiry
How do I update my card details? this week.,Billing
I cannot log in to my account since this morning.,Account Access
Certain ports appear to be blocked on my network this week.,Technical Issue
What are the contract terms—month‑to‑month or annual?,General Inquiry
My router keeps disconnecting every few minutes — please advise.,Technical Issue
Is there a free trial I can test first? asap please.,General Inquiry
Experiencing packet loss while gaming asap please.,Technical Issue
I was charged twice for my subscription after the latest update.,Billing
Payment failed but the money was deducted since this morning.,Billing
My promo code didn't apply at checkout on my laptop and phone.,Billing
Can you provide a credit note for the overcharge? — please advise.,Billing
My username isn't working and I can't sign in on my laptop and phone?,Account Access
Is there a free trial I can test first? thanks.,General Inquiry
Certain ports appear to be blocked on my network,Technical Issue
Which features are included in the standard plan? — any quick fix?,General Inquiry
Can I get a copy of last month's invoice? — any quick fix?,Billing
High latency during video calls since yesterday?,Technical Issue
Forgot my phone number and need access on my laptop and phone.,Account Access
Please help me update my registered phone number — please advise.,Account Access
I got locked out after too many attempts since this morning.,Account Access
Please help me update my registered username asap please?,Account Access
I want to know about your plans since this morning.,General Inquiry
Pages won't load—could it be a DNS problem? — please advise.,Technical Issue
High latency during video calls since yesterday since this morning.,Technical Issue
i'm not receiving the otp code after the latest update.,Account Access
Can you provide a credit note for the overcharge? after the latest update?,Billing
how do i reset my otp? this week.,Account Access
Is service available at my address in Brisbane? for my account?,General Inquiry
Can I get a copy of last month's invoice? thanks.,Billing
Experiencing packet loss while gaming for my account.,Technical Issue
Please issue a refund for the mistaken charge thanks.,Billing
I want to deactivate my account,Account Access
How do I update my card details?,Billing
